コメントID,タイプ,親コメントID,投稿者名,投稿日時,いいね数,コメント本文,投稿者プロファイルURL,動画URL
UgzXjICSW57vityVYE14AaABAg,Thread,,@myoujinnfuru5649,2025-12-28T13:42:45Z,2,"明治6年、1873年の四代目・歌川国政の「しん板猫のそばや」の浮世絵が、江戸時代の基本形の「店舗型」蕎麦屋の内部。

江戸時代、万年元年1860年には江戸市中に3763軒の座敷付き「店舗型」蕎麦屋があり、歌川国政の「しん板猫のそばや」の蕎麦屋内部図は、ほぼ江戸期と同様の様式。

「しん板猫のそばや」絵図には「据え置き型」天ぷら屋台が「店舗型」蕎麦屋の前で営業をしています。天ぷらは屋内での調理は禁止されていた為、屋台で営業していた。

江戸時代の蕎麦屋はおおまかに2種類で「店舗型」蕎麦屋と「担ぎ屋台型」蕎麦屋が主流だったとされますね。

動画にある様な「据え置き型」蕎麦屋台はあまり聞いたことはないが、全くなかったとも言えなくない＾＾


2輪式や4輪式の屋台などは江戸期にはなく、明治期以降でしょう。
4輪式の屋台などは大型屋台で明治後期に出現した東京の「御好み焼屋」屋台などは知られる。
4輪式の大型屋台は寺社の祭礼などで据え置きに近い形で営業し祭礼が終わると引き上げる形をとっていた。2輪式は人のいる場所へ自由に動き回ってアクティブに営業するタイプ。",https://yt3.ggpht.com/ytc/AIdro_nnLvAvem12aLYDc4oZbeb7sRX78vn_JtAZFCXYr00=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgwwwzUiOfVhV04G9jN4AaABAg,Thread,,@裕二大石-o4z,2025-12-21T08:26:59Z,14,東京の近郊で育った老人です。やはりもり蕎麦、ざる蕎麦は夏場の定番ですね。子供心に、なんで刻み海苔が少しだけ降ってるざる蕎麦の方が値が張るのか、不思議でしたね。もり蕎麦は値段が安いのにざる蕎麦の大盛りくらいの量。これも意味不明でした…なんでも良いけど、やっぱり冷たい蕎麦は暑中のご馳走です。,https://yt3.ggpht.com/ytc/AIdro_nX4HfiXY6W7mAzsZPP4xrRi4LVwy3DxJ8n5bP9lQBRqqbrj1s=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgxX4qTtKxO_4MJYCux4AaABAg,Thread,,@藤光-v5u,2025-12-21T04:25:00Z,4,ソバが食べたくなってきたーーー😊,https://yt3.ggpht.com/ytc/AIdro_mCCFXVtVK63pxGo0hk4ri2BrEQf5E-nnLvACr7Q0s=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgxX4qTtKxO_4MJYCux4AaABAg.AQzH0ngl2lDAR2-jOORsyd,Reply,UgxX4qTtKxO_4MJYCux4AaABAg,@crane9364,2025-12-22T15:10:54Z,0,年越し蕎麦😋,https://yt3.ggpht.com/dLaGFEADR4yW02hvveZVd7FODnX5x5RBU0WiOAO0YuqX6IUWLhbcBs8N1yMiq18C2y8nyZ_GlA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgwqqZCK8fuV7sReo5p4AaABAg,Thread,,@okiyosi1974,2025-12-24T07:09:59Z,2,駅蕎麦店はかなり貴重,https://yt3.ggpht.com/2AYPCIkRirKT8tAWbnTG0hXKJNZ5todB6W46XZXm_p86wuCg3tdU4BH3Q5IV0RqswtT7Iv79NQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
Ugx4CAD5Ujht1nMre7Z4AaABAg,Thread,,@ササゲマメ,2025-12-20T09:58:06Z,4,そばくいてえ。,https://yt3.ggpht.com/ytc/AIdro_l_XrIpVP3jO98jnWJJdgKlCZdzh1fDkmKkUzYOG0k=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgyCLWkBaOxyIT-YMxN4AaABAg,Thread,,@幽樂庵月斎,2025-12-19T13:57:59Z,7,"地に足の着いた視線、当時の庶民や職人の視線
この動画を見て他の動画も見たけど、視線や立ち位置がとても目新しい
似た様な動画は沢山あるけどこの視点はまごう事無きオリジナル
是非この視点を失わずに頑張って欲しいと思った",https://yt3.ggpht.com/ytc/AIdro_mlthhKAINBpsxQfH--R-Rg310-L1gn18IsBsYUsWVN8KI=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgyCLWkBaOxyIT-YMxN4AaABAg.AQv9-i1JjMWAQwkqo13epT,Reply,UgyCLWkBaOxyIT-YMxN4AaABAg,@AB-mn6qb,2025-12-20T04:56:40Z,0,正確には、あのようなコンロではなく、炭団を燃料とする「七輪」（のようなもの）が屋台や長屋では盛んに使われました。Wikiの七輪の項目、江戸時代の七輪は、私が撮った写真です。当然火力も強くないので、生蕎麦の麺自体、早茹でできたので、竹笊で「くぐらす」程度でした。,https://yt3.ggpht.com/ytc/AIdro_n6ZBBa_3wssvZ-3uYejR-pYif7bZ3F-sJr33JSyktwwYCCLRkkFCHIjZW7Up1yAzVU4w=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgwPO1mCfecolVmPoj54AaABAg,Thread,,@中野酒造蔵-j5j,2025-12-25T08:32:40Z,5,これは明治か大正時代の話では？夜鷹蕎麦は二八の十六文、今の480円。屋台の形も違いますね。江戸は火事に非常にうるさいので、このように大火力では出来ない。あらかじめ茹でてあった蕎麦を温めるだけ。客は立って食べる。トレードマークの風鈴もないね。,https://yt3.ggpht.com/ytc/AIdro_n9oyjiIJRFxXftmb4gerHYBTjnqx1fOgWff7g5X_eVuQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgxBHVio8V56toyODRx4AaABAg,Thread,,@tafuone524,2025-12-24T08:05:40Z,1,ざるそばは汁がみりんや砂糖を加えて甘口で、甘いものは貴重な時代 差別化するため,https://yt3.ggpht.com/ytc/AIdro_kHlVjx23e9xVJc32qnWaQUUnvhIcJaTvj2MU_jzRT1d-PXR1_sjz20Zd9VUy4cCHsHIQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
